p1,p2,count
33,47,0.0005510609251056221
33,63,0.0005168970252562833
33,243,0.00017034093305272842
33,389,0.0012017662764810262
33,207,0.0002603439468244008
33,41,0.0009484615948269523
33,143,0.0016423524958082672
33,79,0.00015761450857415196
33,169,0.000328294065581443
33,355,0.00020842020495436515
33,469,9.63042783966906e-05
33,493,8.939657466831255e-05
33,573,0.0003892292094043058
33,609,0.00020885354545820538
33,627,0.0001124330457059046
33,554,0.0006813637322109137
33,34,0.0013615471785792831
33,550,0.00017034093305272842
33,48,0.0005152648430294744
33,630,0.00034068186610545684
33,108,0.00017034093305272842
33,128,0.0016550575613947615
33,94,0.00017034093305272842
33,146,3.3285350845589794e-05
33,228,0.00017349701628742605
33,298,7.479866360004961e-05
33,304,0.0001483082110347637
33,426,0.0003338320680742449
33,450,3.217758209239626e-05
33,478,0.000278052728706945
33,484,0.00021215993806720991
33,524,0.00023103707000374146
33,628,4.302728296937061e-05
34,108,0.000392646326997074
34,228,0.0022613696831488847
34,260,0.00012634460688339046
34,428,0.0001897152275065632
34,478,0.0005004949116725009
34,47,0.0003626992411892994
34,357,0.007448081573751875
34,629,0.00045345563091224624
34,389,0.00022672781545612312
34,79,0.001014800358326883
34,169,0.0007660194863567004
34,355,0.0004168404099087303
34,359,0.000274077364432349
34,471,0.00010148923661202703
34,479,6.642969301549411e-05
34,525,0.00016555957519263375
34,627,0.0001124330457059046
41,293,0.00020032339696202898
41,243,0.00010016169848101449
41,479,3.3387232827004825e-05
41,389,0.0002736292132377186
41,357,0.00012203839079879461
41,559,8.223548882390833e-05
41,47,2.7194285146635264e-05
41,572,0.00024986106672531444
41,94,3.3387232827004825e-05
41,472,3.3387232827004825e-05
41,578,5.49888882380102e-05
41,240,0.00011966928131531257
41,118,3.3387232827004825e-05
41,280,0.00011964032912576457
41,334,3.290141378189609e-05
41,428,0.0001897152275065632
41,484,1.24799963568947e-05
41,624,3.276028621045625e-05
47,551,2.7194285146635264e-05
47,243,0.0001359714257331763
47,479,2.7194285146635264e-05
47,493,5.438857029327053e-05
47,573,0.00014645439034062342
47,315,6.309520317209698e-05
47,469,0.0004792728312165186
47,63,0.00012621031149050808
47,357,0.0005479593166890976
47,601,8.18122033276702e-05
47,237,2.7194285146635264e-05
47,179,0.00013027740696349062
47,471,0.0001691487276867117
47,624,0.0001471034278608183
47,630,0.00021755428117308212
47,298,5.438857029327053e-05
47,478,8.280483088802425e-05
47,450,2.7194285146635264e-05
47,426,9.53805908783557e-05
47,484,1.24799963568947e-05
47,524,7.701235666791383e-05
47,628,2.1513641484685306e-05
48,142,0.00011497463665891534
48,179,0.00022994927331783068
48,357,4.432557898589489e-05
48,469,0.0001926085567933812
48,603,0.000231500658844857
59,403,0.0002934465549050651
59,243,0.000491714065750113
59,121,0.00025122911517464955
59,513,6.781884045049268e-05
59,94,0.00039337125260009037
59,580,0.0005155167897375726
59,270,9.834281315002259e-05
59,472,6.146220307532217e-05
60,308,3.187966755413947e-05
60,551,0.0008482223300070772
