p1,p2,count
243,280,4
244,94,12
244,166,11
244,202,4
244,550,3
244,551,1
245,268,1
245,551,2
245,377,5
245,189,6
245,368,5
245,389,3
245,14,11
245,550,3
245,243,8
245,248,8
245,258,9
245,397,1
245,188,2
248,245,12
248,268,1
248,258,12
248,630,1
248,14,6
248,243,1
248,389,1
248,543,1
249,550,7
249,94,1
249,129,5
249,14,2
249,243,1
258,245,6
258,243,8
258,14,7
258,618,1
258,248,5
258,630,5
258,189,2
258,389,3
258,142,1
260,630,23
260,208,25
260,78,9
260,243,16
260,14,3
260,601,2
260,365,1
260,389,2
260,108,9
260,92,5
260,572,1
260,207,9
260,34,2
260,186,9
260,355,2
260,359,9
260,629,3
260,636,2
260,391,1
260,634,2
260,608,10
263,14,6
263,551,4
263,368,10
263,276,1
264,270,4
264,243,2
264,268,1
264,579,2
264,588,2
264,225,2
264,150,1
264,94,1
264,159,1
264,299,1
265,551,13
265,368,16
265,268,1
265,249,2
265,14,1
265,245,2
265,426,2
265,389,5
265,366,1
265,397,1
268,129,10
268,550,3
268,551,2
268,243,1
268,142,1
268,572,1
270,264,3
270,243,16
270,102,2
270,304,2
270,225,1
270,150,1
270,579,4
270,389,5
270,142,1
270,263,2
270,65,1
276,280,5
276,374,12
276,525,19
276,368,1
276,389,7
276,629,2
276,384,4
276,627,2
276,391,3
276,142,1
276,424,2
276,65,1
278,389,61
278,618,28
278,630,14
278,243,31
278,14,32
278,142,10
278,94,1
278,551,4
278,368,3
278,65,3
278,189,1
278,245,7
278,593,3
278,248,3
278,628,2
278,550,1
278,118,1
278,270,5
278,568,1
278,391,2
278,374,1
280,389,75
280,243,29
280,142,16
280,276,9
280,551,3
280,368,4
280,14,5
280,278,1
280,543,2
280,493,2
280,31,5
280,624,2
280,315,2
280,260,2
280,630,4
280,41,4
280,334,4
280,371,2
280,393,1
280,128,3
280,628,4
280,374,2
280,65,2
280,136,1
280,375,7
280,366,5
280,134,1
280,130,1
280,391,1
280,384,1
280,629,1
293,299,11
293,159,19
293,14,35
293,448,7
293,595,3
293,524,7
293,579,19
293,243,44
293,270,8
293,572,8
293,609,7
293,550,1
293,119,1
293,479,2
293,573,2
293,31,1
293,142,10
293,630,6
293,260,1
293,65,1
293,225,1
293,150,1
293,543,1
293,21,1
293,601,2
298,630,11
298,573,4
298,243,4
298,245,1
298,357,2
298,33,1
298,450,1
299,159,13
299,150,2
299,94,1
299,264,1
299,225,1
299,14,6
299,550,2
299,293,5
299,243,1
299,88,1
304,270,3
304,243,11
304,31,5
304,33,2
304,357,4
304,142,4
304,389,1
304,630,5
304,207,1
308,243,22
308,389,7
308,142,8
308,60,1
308,403,2
308,551,3
308,572,1
308,14,5
308,541,7
315,389,20
315,368,1
315,245,1
315,14,2
315,578,4
315,142,5
315,243,4
315,624,3
315,280,2
315,31,2
315,573,1
315,493,1
315,47,1
315,628,1
318,243,33
318,270,9
318,618,1
318,389,3
318,334,1
318,278,1
318,630,7
318,14,4
318,579,1
318,260,1
318,280,1
322,389,4
322,391,3
322,384,1
322,565,5
322,374,8
322,65,1
334,389,40
334,386,5
334,371,4
334,375,10
334,366,12
334,142,3
334,243,6
334,32,1
334,14,1
334,31,4
334,280,2
334,41,2
334,428,1
334,588,10
334,130,10
334,134,9
334,629,1
334,621,1
334,406,1
334,5,1
334,384,6
334,84,1
334,136,1
334,369,8
334,627,3
334,359,4
334,608,1
334,391,1
334,65,1
341,550,17
341,513,1
341,14,14
341,156,3
341,549,7
341,552,3
341,151,1
341,484,2
355,357,6
355,17,11
355,34,4
355,30,6
355,359,10
355,478,4
355,169,2
355,428,1
355,78,1
355,389,1
355,384,1
355,629,7
355,577,3
355,31,1
355,33,2
355,143,13
355,456,7
355,608,2
357,14,43
357,304,29
357,17,29
357,33,40
357,34,111
357,428,42
357,355,15
357,527,5
357,94,1
357,579,1
357,243,8
357,270,2
357,389,20
357,31,26
357,63,5
357,469,1
357,48,2
357,32,4
357,142,9
357,543,5
357,47,10
357,41,4
357,628,3
357,630,73
357,573,16
357,146,19
357,450,5
357,484,3
357,128,32
357,143,5
357,624,2
357,78,6
357,629,9
357,169,11
357,79,11
357,228,18
357,478,4
357,359,12
357,388,1
357,108,3
357,627,1
357,22,2
357,21,3
357,30,1
357,293,1
357,65,6
357,208,2
357,532,3
357,60,1
359,357,4
359,355,20
359,260,3
359,30,11
359,128,1
359,34,4
359,428,1
359,208,19
359,84,1
359,143,5
359,627,11
359,17,2
359,456,2
359,608,33
359,199,13
359,423,5
359,22,5
359,14,1
359,634,11
359,78,20
359,636,3
359,169,1
359,446,2
359,630,1
359,243,1
359,374,4
365,377,3
365,459,3
365,368,2
365,389,8
365,243,17
365,393,1
365,630,1
365,14,3
365,601,2
365,270,1
365,260,2
365,572,1
366,389,14
366,375,10
366,280,1
366,629,1
366,134,2
366,621,1
366,406,1
366,5,1
366,334,1
366,380,1
366,550,1
366,384,5
366,393,3
366,374,2
368,377,5
368,551,16
368,593,2
368,618,3
368,14,10
368,550,4
368,389,4
368,65,1
368,94,4
368,245,3
368,265,9
368,179,2
368,426,1
368,397,1
368,263,3
368,189,7
368,32,1
368,280,1
368,374,1
368,243,1
368,142,1
368,572,1
369,384,8
369,391,15
369,380,5
369,389,1
369,406,5
369,627,3
369,359,2
369,456,2
369,386,1
369,565,5
369,84,2
371,389,12
371,134,1
371,588,1
371,280,1
371,618,1
371,380,1
371,384,1
374,375,19
374,389,6
374,391,10
374,371,1
374,366,2
374,384,1
374,629,1
374,380,6
374,388,5
374,369,1
374,322,5
374,565,3
374,280,2
374,276,5
374,84,1
374,424,6
374,100,1
374,199,2
374,30,1
375,389,38
375,371,3
375,366,13
375,384,8
375,380,10
375,374,19
375,627,2
375,386,4
375,588,1
375,280,1
375,629,7
375,134,2
375,621,4
375,406,1
375,5,4
375,334,2
375,550,4
375,245,3
375,388,11
375,568,4
375,391,3
375,276,1
