name_en,name_zh,url
Fu Rong,傅肜,/wiki/Fu_Rong_(Three_Kingdoms)
Fu Shou,伏寿,/wiki/Fu_Shou
Fu Xuan,傅玄,/wiki/Fu_Xuan
Fu Xun,傅巽,/wiki/Fu_Xun
Lady Gan,甘氏,/wiki/Lady_Gan
Gan Ji,干吉,/wiki/Gan_Ji
Gan Ning,甘宁,/wiki/Gan_Ning
Gao Gan,高干,/wiki/Gao_Gan
Gao Rou,高柔,/wiki/Gao_Rou
Gao Shun,高顺,/wiki/Gao_Shun
Gao Xiang,高翔,/wiki/Gao_Xiang_(Three_Kingdoms)
Ge Xuan,葛玄,/wiki/Ge_Xuan
Gong Lu,龚禄,/wiki/Gong_Lu
Gongsun Du,公孙度,/wiki/Gongsun_Du
Gongsun Gong,公孙恭,/wiki/Gongsun_Gong
Gongsun Kang,公孙康,/wiki/Gongsun_Kang
Gongsun Yuan,公孙渊,/wiki/Gongsun_Yuan
Gongsun Zan,公孙瓒,/wiki/Gongsun_Zan
Gu Cheng,顾承,/wiki/Gu_Cheng_(Three_Kingdoms)
Gu Hui,顾徽,/wiki/Gu_Hui
Gu Li,谷利,/wiki/Gu_Li_(Han_dynasty)
Gu Shao,顾邵,/wiki/Gu_Shao
Gu Tan,顾谭,/wiki/Gu_Tan
Gu Ti,顾悌,/wiki/Gu_Ti
Gu Yong,顾雍,/wiki/Gu_Yong
Guan Jing,关靖,/wiki/Guan_Jing
Guan Lu,管辂,/wiki/Guan_Lu
Guan Ning,管宁,/wiki/Guan_Ning
Guan Ping,关平,/wiki/Guan_Ping
Guan Xing,关兴,/wiki/Guan_Xing
Guan Yu,关羽,/wiki/Guan_Yu
Guanqiu Jian,毌丘俭,/wiki/Guanqiu_Jian
Empress Guo,郭皇后,/wiki/Empress_Guo_(Cao_Rui%27s_wife)
Guo Chong,郭冲,/wiki/Guo_Chong
Guo Huai,郭淮,/wiki/Guo_Huai
Guo Jia,郭嘉,/wiki/Guo_Jia
Guo Nüwang,郭女王,/wiki/Guo_N%C3%BCwang
Guo Pei,郭配,/wiki/Guo_Pei
Guo Si,郭汜,/wiki/Guo_Si
Guo Tu,郭图,/wiki/Guo_Tu
Guo Youzhi,郭攸之,/wiki/Guo_Youzhi
Guo Yuan,国渊,/wiki/Guo_Yuan_(Zini)
Guo Zhi,郭智,/wiki/Guo_Zhi
Han Dang,韩当,/wiki/Han_Dang
Han Fu,韩馥,/wiki/Han_Fu_(warlord)
Han Hao,韩浩,/wiki/Han_Hao
Han Ji,韩暨,/wiki/Han_Ji
Han Sui,韩遂,/wiki/Han_Sui
Han Xian,韩暹,/wiki/Han_Xian_(Han_dynasty)
Han Xuan,韩玄,/wiki/Han_Xuan
Hao Meng,郝萌,/wiki/Hao_Meng
Hao Zhao,郝昭,/wiki/Hao_Zhao
Empress He,何皇后,/wiki/Empress_He_(Han_dynasty)
Empress Dowager He,何太后,/wiki/Empress_Dowager_He_(Eastern_Wu)
He Jin,何进,/wiki/He_Jin
He Qi,贺齐,/wiki/He_Qi
He Qia,和洽,/wiki/He_Qia
He Yan,何晏,/wiki/He_Yan
He Yong,何颙,/wiki/He_Yong_(Han_dynasty)
Hou Cheng,侯成,/wiki/Hou_Cheng
Hou Lan,侯览,/wiki/Hou_Lan
Hu Ji,胡济,/wiki/Hu_Ji
Hu Zhen,胡轸,/wiki/Hu_Zhen
Hu Zong,胡综,/wiki/Hu_Zong
Hua Dan,华澹,/wiki/Hua_Dan
Hua He,华覈,/wiki/Hua_He
Hua Tuo,华佗,/wiki/Hua_Tuo
Hua Xin,华歆,/wiki/Hua_Xin
Hua Xiong,华雄,/wiki/Hua_Xiong
Huan Fan,桓范,/wiki/Huan_Fan
Huan Jie,桓阶,/wiki/Huan_Jie
Lady Huang,黄氏,/wiki/Lady_Huang
Huang Chengyan,黄承彦,/wiki/Huang_Chengyan
Huang Gai,黄盖,/wiki/Huang_Gai
Huang Hao,黄皓,/wiki/Huang_Hao
Huang Quan,黄权,/wiki/Huang_Quan_(general)
Huang Zhong,黄忠,/wiki/Huang_Zhong
Huang Zu,黄祖,/wiki/Huang_Zu
Huangfu Mi,皇甫谧,/wiki/Huangfu_Mi
Huangfu Song,皇甫嵩,/wiki/Huangfu_Song
Huchuquan,呼厨泉,/wiki/Huchuquan_Chanyu
Huo Jun,霍峻,/wiki/Huo_Jun
Huo Yi,霍弋,/wiki/Huo_Yi
Ji Ben,吉本,/wiki/Ji_Ben
Ji Kang,嵇康,/wiki/Ji_Kang
Ji Ling,纪灵,/wiki/Ji_Ling
Ji Yan,暨艳,/wiki/Ji_Yan_(Three_Kingdoms)
Jia Chong,贾充,/wiki/Jia_Chong
Jia Kui,贾逵,/wiki/Jia_Kui_(general)
Jia Xu,贾诩,/wiki/Jia_Xu
Jian Shuo,蹇硕,/wiki/Jian_Shuo
Jian Yong,简雍,/wiki/Jian_Yong
Jiang Gan,蒋干,/wiki/Jiang_Gan
Jiang Ji,蒋济,/wiki/Jiang_Ji
Jiang Qin,蒋钦,/wiki/Jiang_Qin
Jiang Wan,蒋琬,/wiki/Jiang_Wan
Jiang Wei,姜维,/wiki/Jiang_Wei
Jiang Xu,姜叙,/wiki/Jiang_Xu
Jin Xuan,金旋,/wiki/Jin_Xuan
Ju Shou,沮授,/wiki/Ju_Shou
Kan Ze,阚泽,/wiki/Kan_Ze
